p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,group
3.180874860522367e-8,0.676357729597032,0.151,0.102,6.77494536542659e-4,6,LMBR1L,all
3.309260253523551e-8,0.6880096817031185,0.166,0.115,7.048393413979811e-4,6,SYNGR1,all
3.497489514430229e-8,0.37377757749755014,0.357,0.295,7.449302916784945e-4,6,PHF3,all
3.74590624668734e-8,0.32022742563364315,0.443,0.379,7.978405714819366e-4,6,DPM3,all
3.925223403270025e-8,0.6640296537669319,0.158,0.108,8.360333326624827e-4,6,SLC9A3R2,all
3.933297735409955e-8,0.2983373999735256,0.449,0.386,8.377530846649663e-4,6,ETHE1,all
3.9485768122261264e-8,0.30607989768585075,0.498,0.438,8.410073752360427e-4,6,SCARB2,all
4.032060357894887e-8,0.7372550914227802,0.112,0.069,8.587885356280319e-4,6,CEP85L,all
4.153249364740041e-8,0.4796701573564093,0.28,0.219,8.846005821959813e-4,6,TMEM120A,all
4.234644956584505e-8,0.6670609345269294,0.158,0.108,9.019370293029337e-4,6,MOB2,all
4.3336042670976896e-8,0.6330360257880336,0.166,0.115,9.230143728491369e-4,6,F2RL1,all
4.364328259327926e-8,0.3194342984074339,0.434,0.37,9.295582759542549e-4,6,PJA2,all
4.522900251642718e-8,0.5241057034483854,0.106,0.064,9.633325245973826e-4,6,PGM2L1,all
4.572583658270858e-8,0.26257291122078663,0.495,0.433,9.739145933751101e-4,6,AZI2,all
4.900100043125981e-8,0.3349068748125864,0.394,0.33,0.0010436723081854026,6,GLUL,all
4.9219185815908035e-8,0.6214858463250419,0.138,0.09,0.0010483194386930253,6,PLEKHA4,all
4.966370772169223e-8,0.4094249346079113,0.242,0.18,0.0010577873107643228,6,DCAF6,all
5.3207284341818325e-8,0.3133790138625672,0.631,0.587,0.0011332619491963886,6,CD81,all
5.538147529387108e-8,0.3719049577582699,0.375,0.315,0.0011795700422841601,6,PBX1,all
5.563614120847872e-8,0.7695941013861329,0.113,0.071,0.0011849941715993883,6,PRR5,all
