p,avg_Log2FC,pct.1,pct.2,p_adj,cluster_my,symbol,group
0.0016771819781480261,-1.8098563734401303,0.004,0.014,1,2,BBS1,all
0.0016778578228009223,-0.9373726353603558,0.024,0.041,1,2,EXOC2,all
0.0016892126041855515,-3.0059814979768182,0.001,0.01,1,2,RP11-758P17.3,all
0.001695281952355716,-1.2187304120663947,0.031,0.05,1,2,MTR,all
0.001697121943588471,-2.004934122476357,0.006,0.018,1,2,CH17-264L24.1,all
0.0016989432985536456,-0.11963721086443313,0.374,0.416,1,2,C9orf16,all
0.0017002691125151143,-0.9096119131051119,0.03,0.048,1,2,FN3K,all
0.0017024567900961135,-1.1364747670327633,0.033,0.051,1,2,GAN,all
0.0017027713728739356,-1.2938769010941238,0.004,0.013,1,2,PRKAR1B,all
0.0017073658724321371,-1.1889745255785198,0.031,0.049,1,2,NAA35,all
0.0017103989416397817,-0.8424380529076778,0.017,0.032,1,2,RFPL1S,all
0.0017117836369212932,-1.4970040991965639,0.011,0.024,1,2,LRRN4CL,all
0.0017146640105350905,-0.8965760025053067,0.008,0.02,1,2,RP11-284F21.8,all
0.0017160677707328824,-1.0955693559488737,0.015,0.03,1,2,CCDC180,all
0.0017187955150225484,-0.3308144318421855,0.181,0.211,1,2,WBP11,all
0.0017204141284012013,-0.39018564732224537,0.068,0.094,1,2,OXLD1,all
0.0017232959092691943,0.40756398976912545,0.126,0.099,1,2,TIMM17B,all
0.0017248575573785847,-5.266680623939868,0,0.007,1,2,RP11-535A5.1,all
0.001724857559387984,-5.259666222553705,0,0.007,1,2,MCHR2,all
0.001732689468604321,0.3873635494983206,0.256,0.22,1,2,TMEM160,all
0.0017349589862339576,0.45228945799228537,0.138,0.11,1,2,NARS,all
0.0017406398067846877,-0.48158629828725186,0.05,0.072,1,2,ACADM,all
0.001746082413008346,-0.7825084782763281,0.051,0.073,1,2,HLA-G,all
0.0017508824467614506,0.46173041958133343,0.045,0.029,1,2,ERC1,all
0.0017568704257344555,-0.2869310075024256,0.106,0.136,1,2,NHLRC3,all
0.0017669803097915015,-2.59500161711213,0.003,0.012,1,2,GCNT4,all
0.001768382382937731,-0.6397613340087331,0.053,0.075,1,2,NSL1,all
0.0017766419412019439,-0.1893420610334118,0.225,0.264,1,2,SIVA1,all
0.0017791394157581116,0.24102790817609687,0.102,0.077,1,2,GDE1,all
0.0017820752125470307,-3.397851818765486,0.001,0.008,1,2,FZD6,all
0.0017825870950453646,-0.8907299995358811,0.031,0.049,1,2,WDR20,all
0.0017845163545158582,0.3295050380979232,0.076,0.055,1,2,RABGAP1,all
0.0017893348847567742,-1.189355350225199,0.008,0.02,1,2,ZNF251,all
0.001794992254933035,1.1780115838905778,0.024,0.014,1,2,SVIL-AS1,all
0.0017973298692057801,-0.920898717978448,0.013,0.027,1,2,LRRC45,all
0.0018001855594149349,0.12894922016433474,0.398,0.362,1,2,TUBA1B,all
0.0018007430641165368,-2.209808204406147,0.001,0.008,1,2,C16orf45,all
0.0018047471246167535,-0.6637881005919746,0.043,0.064,1,2,GAR1,all
0.001809694350811983,0.5413175026164498,0.064,0.045,1,2,CX3CR1,all
0.0018104871610771266,0.33586247966987404,0.189,0.155,1,2,ERICH1,all
0.001813025738408602,-1.5662136307727978,0.003,0.012,1,2,KRTCAP3,all
0.0018138161176600319,-0.4767510444801166,0.047,0.069,1,2,GTF2H2,all
0.0018179116235545751,-3.057909045727647,0.004,0.013,1,2,LMO7,all
0.0018198999537362174,-0.6018888209144126,0.046,0.068,1,2,PAICS,all
0.001822655517500455,-0.9728638614586322,0.031,0.049,1,2,SLC39A7,all
0.0018257433889135135,0.49070588328984477,0.125,0.098,1,2,C11orf73,all
0.0018275250698376033,-0.4777062191321131,0.088,0.114,1,2,DOCK10,all
0.0018356947283159704,-1.2521957711019311,0.019,0.035,1,2,CAAP1,all
0.00184519084431881,3.3465067292610398,0.004,0.001,1,2,CETP,all
0.0018519235313710798,2.885047042036942,0.004,0.001,1,2,TCTEX1D4,all
0.0018522432008152533,0.8506667618983443,0.038,0.024,1,2,GTF3C2-AS1,all
0.001855237926331508,-0.9531593549346216,0.027,0.045,1,2,ZNF266,all
0.0018586787816619154,2.5774663999920193,0.004,0.001,1,2,TNFRSF10C,all
0.0018619494637646845,-0.186412537118915,0.292,0.327,1,2,TUFM,all
